X,Y,Z
0.49,0.9,-0.17
0.35,0.65,-0.09
0.07,0.27,0.01
-0.34,-2.35,0.23
-0.05,-2.21,0.23
0.08,-1.87,0.23
-0.13,-1.6,0.26
-0.27,-1.51,0.16
-0.41,-1.27,0.12
-0.42,-1.05,0.16
-0.22,-1.1,0.03
-0.2,-0.65,-0.23
-0.28,-0.53,-0.31
-0.45,-0.45,-0.3
-0.85,0.27,-0.14
-0.83,0.57,-0.06
-0.06,0.84,-0.04
0.72,1.33,-0.04
0.93,1.9,0.01
0.63,2.29,0.04
0.52,2.41,0.05
0.53,2.61,0.06
0.71,2.69,0.02
0.62,2.74,-0.04
0.02,2.98,-0.04
-0.01,2.99,-0.06
0.09,3.11,0.04
0.51,2.99,-0.01
0.62,3.02,-0.03
0.31,3.02,0.0
0.12,2.96,0.03
-0.19,2.92,0.15
-0.24,2.8,0.15
-0.11,2.78,0.17
-0.03,2.76,0.18
-0.08,2.61,0.17
-0.15,2.44,0.15
-0.42,2.42,0.25
-0.32,2.25,0.23
-0.07,2.14,0.19
0.23,2.0,0.15
0.2,1.86,0.12
0.11,1.79,0.08
-0.23,1.74,0.14
0.01,1.43,-0.04
0.3,1.31,-0.07
0.27,1.2,-0.06
0.3,0.95,-0.23
0.42,0.7,-0.33
0.61,0.53,-0.3
0.45,0.4,-0.21
0.02,0.21,-0.14
0.83,-2.31,0.07
0.67,-1.9,0.1
-0.4,-1.49,0.18
-1.67,-1.46,0.05
-1.57,-1.4,-0.0
-0.55,-1.03,-0.11
0.4,-0.63,-0.17
0.07,-0.36,0.01
-0.28,-0.35,0.11
-0.32,-0.28,0.13
0.02,0.19,0.12
0.29,0.62,-0.01
0.47,0.76,-0.04
0.77,1.08,-0.06
0.58,1.57,-0.08
0.61,1.79,-0.15
0.53,1.95,-0.17
0.63,2.14,-0.22
0.75,2.35,-0.28
0.79,2.37,-0.32
0.39,2.54,-0.37
-0.13,2.79,-0.33
0.03,2.86,-0.33
0.53,3.0,-0.29
0.81,3.2,-0.28
0.85,3.35,-0.28
0.26,3.39,-0.23
0.09,3.37,-0.2
0.01,3.41,-0.19
-0.23,3.41,-0.13
-0.64,3.4,-0.01
-0.55,3.17,-0.05
-0.16,2.91,-0.09
0.14,2.77,-0.01
0.06,2.56,0.07
-0.36,2.25,0.13
-0.64,1.95,0.19
-0.49,1.83,0.19
-0.29,1.75,0.11
0.09,1.47,-0.05
-0.02,1.32,-0.09
-0.4,1.24,-0.09
-0.67,1.12,-0.04
-0.61,0.9,0.03
-0.36,0.71,-0.01
-0.25,0.54,0.01
-0.53,0.24,0.07
1.35,-0.15,0.24
-0.88,-0.31,-0.05
0.03,-0.17,0.01
0.31,-0.06,-0.05
0.08,-0.04,-0.04
-0.11,-0.12,-0.02
-0.01,-0.15,-0.03
0.06,-0.05,-0.01
-0.06,-0.08,-0.01
-0.13,-0.09,0.0
-0.04,-0.06,0.0
-0.0,-0.04,0.01
-0.03,-0.06,0.02
0.0,-0.06,0.03
0.01,-0.05,0.02
-0.02,-0.05,0.01
-0.01,-0.05,0.0
-0.08,-0.02,0.01
-0.08,-0.03,0.01
-0.0,-0.01,0.01
0.09,0.0,0.01
0.08,-0.01,0.02
0.02,-0.0,0.02
0.05,-0.03,0.02
0.15,-0.02,0.03
0.03,-0.01,0.04
-0.12,-0.03,0.04
-0.06,-0.06,0.02
0.04,-0.01,0.02
-0.09,0.01,0.01
-0.14,-0.03,0.01
-0.12,0.01,-0.0
-0.06,0.01,-0.01
-0.0,-0.02,-0.01
0.06,-0.01,0.0
0.04,-0.01,0.0
-0.0,-0.04,0.01
-0.05,-0.03,0.01
-0.02,-0.05,0.01
-0.04,-0.04,0.02
-0.03,-0.05,0.02
-0.03,-0.03,0.02
0.04,-0.04,0.02
0.08,-0.01,0.02
0.07,-0.02,0.03
0.0,0.0,0.02
0.01,-0.02,0.02
0.04,-0.01,0.01
0.06,-0.01,0.01
0.06,-0.02,0.01
0.1,-0.03,0.02
0.07,-0.01,0.02
-0.01,-0.02,0.01
-0.11,-0.02,0.0
-0.05,-0.03,0.0
0.02,-0.02,0.0
0.02,-0.03,0.0
-0.01,-0.04,0.0
-0.05,-0.03,0.0
-0.04,-0.04,-0.01
-0.0,-0.04,-0.0
0.01,-0.02,0.0
0.01,-0.03,0.01
0.04,-0.02,0.02
0.04,-0.02,0.02
0.0,-0.03,0.02
-0.01,-0.03,0.02
0.01,-0.03,0.02
0.03,-0.04,0.02
0.02,-0.03,0.02
0.02,-0.04,0.01
-0.01,-0.03,0.01
-0.01,-0.04,0.01
0.01,-0.04,0.01
0.03,-0.04,0.01
-0.01,-0.03,0.0
-0.02,-0.04,0.01
-0.01,-0.03,0.0
0.02,-0.03,0.01
-0.0,-0.03,0.01
-0.02,-0.02,0.01
0.02,-0.02,0.01
0.03,-0.02,0.01
0.02,-0.02,0.02
-0.02,-0.02,0.03
0.01,-0.03,0.02
0.05,-0.02,0.03
0.03,-0.02,0.03
0.01,-0.04,0.03
-0.02,-0.04,0.02
0.0,-0.04,0.02
0.04,-0.03,0.02
0.03,-0.02,0.02
-0.01,-0.03,0.02
-0.01,-0.03,0.02
0.01,-0.03,0.02
0.04,-0.03,0.02
0.01,-0.03,0.02
-0.0,-0.04,0.02
0.01,-0.04,0.01
0.02,-0.04,0.01
0.02,-0.04,0.01
0.01,-0.04,0.01
-0.01,-0.05,0.0
0.0,-0.04,-0.0
0.02,-0.03,-0.0
0.01,-0.03,0.0
0.0,-0.02,0.01
0.01,-0.02,0.01
